id,platform,cycle,lat,lon,date
5904544_101,5904544,101,0.183,-123.242,2017-06-03
4901503_208,4901503,208,2.29465,-105.07124,2017-06-02
3900571_379,3900571,379,1.176,-85.051,2017-06-02
3901162_178,3901162,178,-0.42515,-106.49041,2017-06-02
5904277_115,5904277,115,-0.021,-110.048,2017-06-02
5904275_115,5904275,115,-1.709,-102.839,2017-06-02
4901553_101,4901553,101,2.781,-114.332,2017-06-02
3901176_109,3901176,109,1.33,-97.801,2017-06-02
3901197_078,3901197,78,-3.598,-111.423,2017-06-02
3901151_153,3901151,153,1.912,-97.904,2017-06-02
3901177_109,3901177,109,2.166,-101.596,2017-06-02
3900674_214,3900674,214,-0.273,-90.02,2017-06-02
3901186_117,3901186,117,-3.742,-105.465,2017-06-01
3901178_109,3901178,109,1.683,-91.273,2017-06-01
3901194_078,3901194,78,-5.049,-98.115,2017-06-01
3900673_214,3900673,214,-0.094,-123.886,2017-06-01
3901150_153,3901150,153,-3.27,-101.772,2017-06-01
