time,time2,year,month,day,winds_u,winds_v
2017-11-12,11-12,2017,11,12,-3.8286114,-2.025074
2017-11-13,11-13,2017,11,13,-4.8744063,-1.5920353
2017-11-14,11-14,2017,11,14,-5.184025,0.31059498
2017-11-15,11-15,2017,11,15,-4.9968166,0.8446795
2017-11-16,11-16,2017,11,16,-6.006832,-0.50244975
2017-11-17,11-17,2017,11,17,-5.1805573,-0.034461778
2017-11-18,11-18,2017,11,18,-3.7264507,3.4772189
2017-11-19,11-19,2017,11,19,-2.2378044,4.992392
2017-11-20,11-20,2017,11,20,-1.0389881,0.18353756
2017-11-21,11-21,2017,11,21,-4.8652654,1.0424142
2017-11-22,11-22,2017,11,22,-3.9432647,3.9099748
2017-11-23,11-23,2017,11,23,-5.5732503,2.389957
2017-11-24,11-24,2017,11,24,-6.1024585,-2.6082938
2017-11-25,11-25,2017,11,25,-6.43678,-4.7457657
2017-11-26,11-26,2017,11,26,-5.85589,-0.30458447
2017-11-27,11-27,2017,11,27,-5.138602,1.656983
2017-11-28,11-28,2017,11,28,-4.498835,-0.07026303
2017-11-29,11-29,2017,11,29,-4.9355555,-1.8573556
2017-11-30,11-30,2017,11,30,-5.561013,4.3135576
2017-12-01,12-01,2017,12,1,-4.6178236,4.4551554
2017-12-02,12-02,2017,12,2,-4.4832344,-1.4993316
2017-12-03,12-03,2017,12,3,-5.522539,-3.9275901
2017-12-04,12-04,2017,12,4,-8.229772,-4.881619
2017-12-05,12-05,2017,12,5,-6.1415186,-0.5804332
2017-12-06,12-06,2017,12,6,-5.0743933,1.4299172
2017-12-07,12-07,2017,12,7,-8.638131,-2.258943
2017-12-08,12-08,2017,12,8,-7.4176135,-5.437249
2017-12-09,12-09,2017,12,9,-5.887942,-6.570818
2017-12-10,12-10,2017,12,10,-5.848621,-4.507523
2017-12-11,12-11,2017,12,11,-0.77768844,-1.1687962
2017-12-12,12-12,2017,12,12,-6.9203825,-4.7280817
2017-12-13,12-13,2017,12,13,-6.090767,-6.393246
2017-12-14,12-14,2017,12,14,-8.202687,-7.7879214
2017-12-15,12-15,2017,12,15,-6.9431767,-6.7025795
2017-12-16,12-16,2017,12,16,-5.6581135,-6.2341056
2017-12-17,12-17,2017,12,17,-3.6894448,-6.380978
2017-12-18,12-18,2017,12,18,-2.4968255,-0.21748012
2017-12-19,12-19,2017,12,19,-3.3457177,5.0406914
2017-12-20,12-20,2017,12,20,-3.7813997,1.9924875
2017-12-21,12-21,2017,12,21,-3.428387,-1.8382016
2017-12-22,12-22,2017,12,22,-4.9693036,-5.8153176
2017-12-23,12-23,2017,12,23,-6.7358828,-5.0826697
2017-12-24,12-24,2017,12,24,-7.063469,-5.1376295
2017-12-25,12-25,2017,12,25,-6.250452,-4.290676
2017-12-26,12-26,2017,12,26,-3.5365481,-2.63065
2017-12-27,12-27,2017,12,27,-4.739927,-2.780492
2017-12-28,12-28,2017,12,28,-6.632225,-2.8240502
2017-12-29,12-29,2017,12,29,-7.2472396,-2.665061
2017-12-30,12-30,2017,12,30,-7.354027,-4.702965
2017-12-31,12-31,2017,12,31,-9.163483,-2.9794593
