time,time2,year,month,day,winds_u,winds_v
2022-08-19,08-19,2022,8,19,-2.2151325,-0.9936703
2022-08-20,08-20,2022,8,20,-0.6176256,-2.044558
2022-08-21,08-21,2022,8,21,-1.4109226,0.33732167
2022-08-22,08-22,2022,8,22,-3.2364295,-0.3379856
2022-08-23,08-23,2022,8,23,-4.1729274,-3.7462268
2022-08-24,08-24,2022,8,24,-4.4207325,-2.5200613
2022-08-25,08-25,2022,8,25,,
2022-08-26,08-26,2022,8,26,-6.075844,-1.9807308
2022-08-27,08-27,2022,8,27,-5.7997994,-2.714014
2022-08-28,08-28,2022,8,28,-6.7865005,0.17433721
2022-08-29,08-29,2022,8,29,-6.8881083,-1.2652212
2022-08-30,08-30,2022,8,30,-5.638448,-4.5745106
2022-08-31,08-31,2022,8,31,-5.886416,-3.0109594
2022-09-01,09-01,2022,9,1,-8.169854,-0.91536975
2022-09-02,09-02,2022,9,2,-7.0234084,-0.95110464
2022-09-03,09-03,2022,9,3,-6.1370363,-4.8120522
2022-09-04,09-04,2022,9,4,-5.821903,-0.6516095
2022-09-05,09-05,2022,9,5,-5.8703294,3.2329683
2022-09-06,09-06,2022,9,6,-8.212795,1.2473303
2022-09-07,09-07,2022,9,7,-7.5286694,-1.7999741
2022-09-08,09-08,2022,9,8,-5.5541835,-2.3397915
2022-09-09,09-09,2022,9,9,-4.6691327,-3.3871658
2022-09-10,09-10,2022,9,10,-5.8496246,-1.011728
2022-09-11,09-11,2022,9,11,-7.1808577,-1.2208126
2022-09-12,09-12,2022,9,12,-3.8400533,-2.4381554
2022-09-13,09-13,2022,9,13,-1.7979704,0.109170526
2022-09-14,09-14,2022,9,14,-5.2009897,-0.9194465
2022-09-15,09-15,2022,9,15,-5.1501026,0.095824026
2022-09-16,09-16,2022,9,16,-4.3935914,-2.0007412
2022-09-17,09-17,2022,9,17,-3.211096,-2.1067204
2022-09-18,09-18,2022,9,18,-4.5696454,-2.440781
2022-09-19,09-19,2022,9,19,-5.135583,-2.6552238
2022-09-20,09-20,2022,9,20,-2.3947449,-2.6272259
2022-09-21,09-21,2022,9,21,1.9653696,0.75216734
2022-09-22,09-22,2022,9,22,0.17254674,0.7441825
2022-09-23,09-23,2022,9,23,-5.1490607,-1.5214285
2022-09-24,09-24,2022,9,24,-5.077147,-2.2935886
2022-09-25,09-25,2022,9,25,1.2323292,-2.7074878
2022-09-26,09-26,2022,9,26,-0.033944223,-1.0776443
2022-09-27,09-27,2022,9,27,-6.0021377,0.012959493
2022-09-28,09-28,2022,9,28,-7.1751246,2.546081
2022-09-29,09-29,2022,9,29,-5.2643313,-1.1988069
2022-09-30,09-30,2022,9,30,-5.277614,-3.0206242
2022-10-01,10-01,2022,10,1,-5.4253783,-2.5967665
2022-10-02,10-02,2022,10,2,-6.4996314,0.30408695
2022-10-03,10-03,2022,10,3,-5.9138737,0.6505438
2022-10-04,10-04,2022,10,4,-7.928454,-1.6012754
2022-10-05,10-05,2022,10,5,-7.218506,-1.2341298
2022-10-06,10-06,2022,10,6,-6.0294147,0.49037096
2022-10-07,10-07,2022,10,7,-5.76427,1.0657082
2022-10-08,10-08,2022,10,8,-5.4593353,2.1805687
2022-10-09,10-09,2022,10,9,-5.1781025,0.66901565
2022-10-10,10-10,2022,10,10,-4.7891836,0.5270781
2022-10-11,10-11,2022,10,11,-5.250213,1.0845262
2022-10-12,10-12,2022,10,12,-4.8575406,-1.9510975
2022-10-13,10-13,2022,10,13,-4.2391925,-3.164173
2022-10-14,10-14,2022,10,14,-4.7538786,-2.4840672
2022-10-15,10-15,2022,10,15,-6.0791683,-1.7981094
2022-10-16,10-16,2022,10,16,-5.237159,-3.1735547
2022-10-17,10-17,2022,10,17,-5.348311,-3.1136284
2022-10-18,10-18,2022,10,18,-3.5965455,-0.43263954
2022-10-19,10-19,2022,10,19,-1.141567,-1.6113037
2022-10-20,10-20,2022,10,20,-3.132295,-4.789913
2022-10-21,10-21,2022,10,21,-0.32345042,-4.6453
2022-10-22,10-22,2022,10,22,1.4489039,-2.9366696
2022-10-23,10-23,2022,10,23,-2.422671,-1.2342281
2022-10-24,10-24,2022,10,24,-4.859781,-3.9017737
2022-10-25,10-25,2022,10,25,-0.78344214,-5.3800073
2022-10-26,10-26,2022,10,26,1.0338271,-3.147222
2022-10-27,10-27,2022,10,27,-2.2839816,-3.1303074
2022-10-28,10-28,2022,10,28,-3.5706217,-3.8882303
2022-10-29,10-29,2022,10,29,-3.8874035,-2.303663
2022-10-30,10-30,2022,10,30,-1.8105367,-1.899988
2022-10-31,10-31,2022,10,31,-2.623368,-4.858462
2022-11-01,11-01,2022,11,1,-3.0707428,-5.3022475
2022-11-02,11-02,2022,11,2,-1.3170877,-3.5275252
2022-11-03,11-03,2022,11,3,-2.7011182,-5.358594
2022-11-04,11-04,2022,11,4,-2.0328183,-6.077662
2022-11-05,11-05,2022,11,5,-1.8795669,-5.0801353
2022-11-06,11-06,2022,11,6,-2.0734093,-3.5418878
2022-11-07,11-07,2022,11,7,-1.7270268,-3.6490452
2022-11-08,11-08,2022,11,8,-0.6765777,-3.7617686
2022-11-09,11-09,2022,11,9,-0.53483146,-2.7694213
2022-11-10,11-10,2022,11,10,-3.7369368,-4.171315
2022-11-11,11-11,2022,11,11,-5.0129027,-5.1983376
2022-11-12,11-12,2022,11,12,-4.01395,-1.9217721
2022-11-13,11-13,2022,11,13,-5.367033,-1.2494006
2022-11-14,11-14,2022,11,14,-4.0686154,-1.4254895
2022-11-15,11-15,2022,11,15,-3.089323,-3.9686415
2022-11-16,11-16,2022,11,16,-4.5683026,-3.2815204
2022-11-17,11-17,2022,11,17,-4.499161,-4.0005817
2022-11-18,11-18,2022,11,18,-4.9495664,-3.8497036
2022-11-19,11-19,2022,11,19,-5.9114256,-1.1468934
2022-11-20,11-20,2022,11,20,-6.9307466,-2.1795871
2022-11-21,11-21,2022,11,21,-6.0734096,-0.48754218
2022-11-22,11-22,2022,11,22,-3.5447786,-0.82679844
2022-11-23,11-23,2022,11,23,-2.7727797,-2.7732787
2022-11-24,11-24,2022,11,24,-0.8511434,-1.8378277
2022-11-25,11-25,2022,11,25,-0.7115063,-1.2730945
2022-11-26,11-26,2022,11,26,-0.6726392,-5.1388702
2022-11-27,11-27,2022,11,27,-0.5488287,-3.754879
2022-11-28,11-28,2022,11,28,-2.720799,-3.2320392
2022-11-29,11-29,2022,11,29,-2.4879417,-3.4071348
2022-11-30,11-30,2022,11,30,-0.8694003,-4.7735715
2022-12-01,12-01,2022,12,1,-1.4795165,-4.930929
2022-12-02,12-02,2022,12,2,-3.899302,-3.8711658
2022-12-03,12-03,2022,12,3,-5.402189,-2.9968076
2022-12-04,12-04,2022,12,4,-6.454918,-3.5256505
2022-12-05,12-05,2022,12,5,-4.9388175,-4.169052
2022-12-06,12-06,2022,12,6,-4.3689003,-3.6387937
2022-12-07,12-07,2022,12,7,-3.2489479,-3.6006901
2022-12-08,12-08,2022,12,8,-2.292707,-3.8602035
2022-12-09,12-09,2022,12,9,-5.605427,-4.4312596
2022-12-10,12-10,2022,12,10,-5.066636,-3.9528098
2022-12-11,12-11,2022,12,11,-4.6732345,-2.1956875
2022-12-12,12-12,2022,12,12,-4.580573,-2.1378162
2022-12-13,12-13,2022,12,13,-2.1388316,-3.6811004
2022-12-14,12-14,2022,12,14,0.17481281,-3.1636147
2022-12-15,12-15,2022,12,15,0.30130363,-3.5870202
2022-12-16,12-16,2022,12,16,1.911398,-2.7126975
2022-12-17,12-17,2022,12,17,1.2145358,-0.5857618
2022-12-18,12-18,2022,12,18,-0.52563465,-0.48645017
2022-12-19,12-19,2022,12,19,-3.7365334,-0.897688
2022-12-20,12-20,2022,12,20,-5.3998995,-1.7142123
2022-12-21,12-21,2022,12,21,-5.8348594,-2.8888867
2022-12-22,12-22,2022,12,22,-4.605989,-4.0017757
2022-12-23,12-23,2022,12,23,-5.5330763,-1.3526813
2022-12-24,12-24,2022,12,24,-5.090519,-3.8065743
2022-12-25,12-25,2022,12,25,-4.9547677,-3.1790874
2022-12-26,12-26,2022,12,26,-2.7463057,-4.350054
2022-12-27,12-27,2022,12,27,-3.7444649,-4.904408
2022-12-28,12-28,2022,12,28,-4.833221,-2.140943
2022-12-29,12-29,2022,12,29,-2.990435,-2.0266142
2022-12-30,12-30,2022,12,30,-2.239359,-6.2597685
2022-12-31,12-31,2022,12,31,-0.84157145,-4.6800213
