salinity_sfile,temperature_sfile,pressure,lat,lon,date
,12.5163,188.800003,-12.36,-86.9,2019-11-08
,12.51,189.5,-12.36,-86.9,2019-11-08
,12.5072,189.899994,-12.36,-86.9,2019-11-08
,12.503,190.5,-12.36,-86.9,2019-11-08
,12.4982,191.100006,-12.36,-86.9,2019-11-08
,12.495,191.5,-12.36,-86.9,2019-11-08
,12.488778,192.199997,-12.36,-86.9,2019-11-08
,12.487,192.399994,-12.36,-86.9,2019-11-08
,12.482091,193.300003,-12.36,-86.9,2019-11-08
,12.481,193.5,-12.36,-86.9,2019-11-08
,12.479,194.5,-12.36,-86.9,2019-11-08
,12.464,195.5,-12.36,-86.9,2019-11-08
,12.4597,195.600006,-12.36,-86.9,2019-11-08
,12.421,196.5,-12.36,-86.9,2019-11-08
,12.401555,197.0,-12.36,-86.9,2019-11-08
,12.386,197.399994,-12.36,-86.9,2019-11-08
,12.373909,198.099991,-12.36,-86.9,2019-11-08
,12.367,198.5,-12.36,-86.9,2019-11-08
,12.3526,199.300003,-12.36,-86.9,2019-11-08
,12.349,199.5,-12.36,-86.9,2019-11-08
,12.339,200.5,-12.36,-86.9,2019-11-08
,12.33,201.399994,-12.36,-86.9,2019-11-08
,12.328363,201.599991,-12.36,-86.9,2019-11-08
,12.321,202.5,-12.36,-86.9,2019-11-08
,12.3174,202.800003,-12.36,-86.9,2019-11-08
,12.309,203.5,-12.36,-86.9,2019-11-08
,12.302,204.0,-12.36,-86.9,2019-11-08
,12.295,204.5,-12.36,-86.9,2019-11-08
,12.286,205.100006,-12.36,-86.9,2019-11-08
,12.28,205.5,-12.36,-86.9,2019-11-08
,12.266399,206.300003,-12.36,-86.9,2019-11-08
,12.263,206.5,-12.36,-86.9,2019-11-08
,12.2324,207.399994,-12.36,-86.9,2019-11-08
,12.229,207.5,-12.36,-86.9,2019-11-08
,12.226,208.5,-12.36,-86.9,2019-11-08
,12.224999,208.600006,-12.36,-86.9,2019-11-08
,12.216,209.5,-12.36,-86.9,2019-11-08
,12.2136,209.800003,-12.36,-86.9,2019-11-08
,12.208,210.5,-12.36,-86.9,2019-11-08
,12.2024,210.899994,-12.36,-86.9,2019-11-08
,12.194,211.5,-12.36,-86.9,2019-11-08
,12.190182,212.100006,-12.36,-86.9,2019-11-08
,12.187,212.600006,-12.36,-86.9,2019-11-08
,12.182333,213.300003,-12.36,-86.9,2019-11-08
,12.181,213.5,-12.36,-86.9,2019-11-08
,12.17,214.399994,-12.36,-86.9,2019-11-08
,12.141,215.5,-12.36,-86.9,2019-11-08
,12.1387,215.600006,-12.36,-86.9,2019-11-08
,12.118,216.5,-12.36,-86.9,2019-11-08
,12.113,216.699997,-12.36,-86.9,2019-11-08
,12.093,217.5,-12.36,-86.9,2019-11-08
,12.0874,217.899994,-12.36,-86.9,2019-11-08
,12.079,218.5,-12.36,-86.9,2019-11-08
,12.064818,219.100006,-12.36,-86.9,2019-11-08
,12.053,219.600006,-12.36,-86.9,2019-11-08
,12.039778,220.300003,-12.36,-86.9,2019-11-08
,12.036,220.5,-12.36,-86.9,2019-11-08
,12.029,221.399994,-12.36,-86.9,2019-11-08
,12.017,222.5,-12.36,-86.9,2019-11-08
,12.016091,222.600006,-12.36,-86.9,2019-11-08
,12.007,223.600006,-12.36,-86.9,2019-11-08
,12.004556,223.800003,-12.36,-86.9,2019-11-08
,11.996,224.5,-12.36,-86.9,2019-11-08
,11.989,225.199997,-12.36,-86.9,2019-11-08
,11.987,225.399994,-12.36,-86.9,2019-11-08
,11.980636,226.399994,-12.36,-86.9,2019-11-08
,11.98,226.5,-12.36,-86.9,2019-11-08
,11.968,227.600006,-12.36,-86.9,2019-11-08
,11.96,228.5,-12.36,-86.9,2019-11-08
,11.9576,228.699997,-12.36,-86.9,2019-11-08
,11.948,229.5,-12.36,-86.9,2019-11-08
,11.936,229.899994,-12.36,-86.9,2019-11-08
,11.921,230.399994,-12.36,-86.9,2019-11-08
,11.903181,231.099991,-12.36,-86.9,2019-11-08
,11.893,231.5,-12.36,-86.9,2019-11-08
,11.879182,232.300003,-12.36,-86.9,2019-11-08
,11.874,232.600006,-12.36,-86.9,2019-11-08
,11.8596,233.5,-12.36,-86.9,2019-11-08
,11.858,233.600006,-12.36,-86.9,2019-11-08
,11.848,234.5,-12.36,-86.9,2019-11-08
,11.842799,234.699997,-12.36,-86.9,2019-11-08
,11.822,235.5,-12.36,-86.9,2019-11-08
,11.809999,235.899994,-12.36,-86.9,2019-11-08
,11.795,236.399994,-12.36,-86.9,2019-11-08
,11.783545,237.099991,-12.36,-86.9,2019-11-08
,11.777,237.5,-12.36,-86.9,2019-11-08
,11.740182,238.400009,-12.36,-86.9,2019-11-08
,11.732,238.600006,-12.36,-86.9,2019-11-08
,11.681,239.600006,-12.36,-86.9,2019-11-08
,11.658,240.600006,-12.36,-86.9,2019-11-08
,11.6566,240.800003,-12.36,-86.9,2019-11-08
,11.651,241.600006,-12.36,-86.9,2019-11-08
,11.649667,242.0,-12.36,-86.9,2019-11-08
,11.648,242.5,-12.36,-86.9,2019-11-08
,11.6417,243.199997,-12.36,-86.9,2019-11-08
,11.639,243.5,-12.36,-86.9,2019-11-08
